0.000000000000000000000000001661,kg,Atomic Mass Constant                                       ,,,
0.000000000149241806200000000000,J,Atomic Mass Constant Energy Equivalent                     ,,,
931.494095400000000000000000000000,MeV,Atomic Mass Constant Energy Equivalent In Mev              ,,,
602214085700000000000000.000000000000000000000000000000,mol^-1,Avogadro Constant                                          ,,,
0.000000000000000000000013806485,J*K^-1,Boltzmann Constant                                         ,,,
0.000086173303000000000000000000,eV*K^-1,Boltzmann Constant In Ev/k                                 ,,,
20836612000.000000000000000000000000000000,Hz*K^-1,Boltzmann Constant In Hz/k                                 ,,,
69.503457000000000000000000000000,m^-1*K^-1,Boltzmann Constant In Inverse Meters Per Kelvin            ,,,
483597900000000.000000000000000000000000000000,Hz*V^-1,Conventional Value Of Josephson Constant                   ,,,
25812.807000000000000000000000000000,ohm,Conventional Value Of Von Klitzing Constant                ,,,
0.000000000008854187817000000000,F*m^-1,Electric Constant                                          ,,,
96485.332890000000000000000000000000,C*mol^-1,Faraday Constant                                           ,,,
96485.325100000000000000000000000000,C_90*mol^-1,Faraday Constant For Conventional Electric Current         ,,,
0.000011663787000000000000000000,GeV^-2,Fermi Coupling Constant                                    ,,,
0.007297352566400000000000000000,,Fine-structure Constant                                    ,,,
0.000000000000000374177179000000,W*m^2,First Radiation Constant                                   ,,,
0.000000000000000119104295300000,W*m^2*sr^-1,First Radiation Constant For Spectral Radiance             ,,,
137.035999139000000000000000000000,,Inverse Fine-structure Constant                            ,,,
483597852500000.000000000000000000000000000000,Hz*V^-1,Josephson Constant                                         ,,,
26516467000000000000000000.000000000000000000000000000000,m^-3,"Loschmidt Constant (273.15 K, 100 Kpa)                     ",,,
26867811000000000000000000.000000000000000000000000000000,m^-3,"Loschmidt Constant (273.15 K, 101.325 Kpa)                 ",,,
0.000001256637061400000000000000,N*A^-2,Mag. Constant                                              ,,,
8.314459800000000000000000000000,J*mol^-1*K^-1,Molar Gas Constant                                         ,,,
0.001000000000000000000000000000,kg*mol^-1,Molar Mass Constant                                        ,,,
0.000000000399031271100000000000,J*s*mol^-1,Molar Planck Constant                                      ,,,
0.119626565582000000000000000000,J*m*mol^-1,Molar Planck Constant Times C                              ,,,
0.000000000066740800000000000000,m^3*kg^-1*s^-2,Newtonian Constant Of Gravitation                          ,,,
0.000000000000000000000000000000,(GeV/c^2)^-2,Newtonian Constant Of Gravitation Over H-bar C             ,,,
,,,0.000000000000000000000000000000,J*s,Planck Constant                                            
,,,0.000000000000004135667662000000,eV*s,Planck Constant In Ev S                                    
,,,0.000000000000000000000000000000,J*s,Planck Constant Over 2 Pi                                  
,,,0.000000000000000658211951400000,eV*s,Planck Constant Over 2 Pi In Ev S                          
,,,197.326978800000000000000000000000,MeV*fm,Planck Constant Over 2 Pi Times C In Mev Fm                
10973731.568508000000000000000000000000,m^-1,Rydberg Constant                                           ,,,
3289841960355000.000000000000000000000000000000,Hz,Rydberg Constant Times C In Hz                             ,,,
13.605693009000000000000000000000,eV,Rydberg Constant Times Hc In Ev                            ,,,
0.000000000000000002179872325000,J,Rydberg Constant Times Hc In J                             ,,,
-1.151708400000000000000000000000,,"Sackur-tetrode Constant (1 K, 100 Kpa)                     ",,,
-1.164871400000000000000000000000,,"Sackur-tetrode Constant (1 K, 101.325 Kpa)                 ",,,
0.014387773600000000000000000000,m*K,Second Radiation Constant                                  ,,,
0.000000056703670000000000000000,W*m^-2*K^-4,Stefan-boltzmann Constant                                  ,,,
25812.807455500000000000000000000000,ohm,Von Klitzing Constant                                      ,,,
58789238000.000000000000000000000000000000,Hz*K^-1,Wien Frequency Displacement Law Constant                   ,,,
0.002897772900000000000000000000,m*K,Wien Wavelength Displacement Law Constant                  ,,,
